2025-10-22 07:00:01,734 INFO [App]: Запуск работы «marketplace_data_service»
2025-10-22 07:00:01,742 INFO [DBClient]: Таблица purchases уже существует
2025-10-22 07:00:01,742 INFO [App]: Запуск загрузки данных за предыдущий день
2025-10-22 07:00:01,742 INFO [DailyDataLoader]: Обработка даты: 2025-10-21
2025-10-22 07:00:01,742 INFO [ApiClient]: Запрос данных с API за 2025-10-21
2025-10-22 07:00:40,010 INFO [ApiClient]: Успешно получено 9153 записей
2025-10-22 07:00:40,072 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 520466, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 71280, 'product_id': 46392, 'quantity': 0, 'price_per_item': 998, 'discount_per_item': 917, 'total_price': 0}
2025-10-22 07:00:40,096 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 68015, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 67490, 'product_id': 38537, 'quantity': 0, 'price_per_item': 82480, 'discount_per_item': 7995, 'total_price': 0}
2025-10-22 07:00:40,119 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 594074, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 50601, 'product_id': 17540, 'quantity': 0, 'price_per_item': 73399, 'discount_per_item': 49801, 'total_price': 0}
2025-10-22 07:00:40,128 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 276741, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 24335, 'product_id': 33625, 'quantity': 0, 'price_per_item': 1146, 'discount_per_item': 489, 'total_price': 0}
2025-10-22 07:00:40,133 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 151084, 'gender': 'F', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 60501, 'product_id': 8489, 'quantity': 0, 'price_per_item': 49199, 'discount_per_item': 25244, 'total_price': 0}
2025-10-22 07:00:40,133 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 98409, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 62605, 'product_id': 5319, 'quantity': 0, 'price_per_item': 75439, 'discount_per_item': 23252, 'total_price': 0}
2025-10-22 07:00:40,168 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 538470, 'gender': 'F', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 54586, 'product_id': 48812, 'quantity': 0, 'price_per_item': 43968, 'discount_per_item': 13190, 'total_price': 0}
2025-10-22 07:00:40,207 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 72500, 'gender': 'F', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 63609, 'product_id': 29996, 'quantity': 0, 'price_per_item': 52711, 'discount_per_item': 18421, 'total_price': 0}
2025-10-22 07:00:40,222 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 770187, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 49519, 'product_id': 33953, 'quantity': 0, 'price_per_item': 71567, 'discount_per_item': 9053, 'total_price': 0}
2025-10-22 07:00:40,244 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 49113, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 56376, 'product_id': 27339, 'quantity': 0, 'price_per_item': 70086, 'discount_per_item': 45736, 'total_price': 0}
2025-10-22 07:00:40,250 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 733242, 'gender': 'M', 'purchase_datetime': '2025-10-21', 'purchase_time_as_seconds_from_midnight': 63127, 'product_id': 26291, 'quantity': 0, 'price_per_item': 21778, 'discount_per_item': 20358, 'total_price': 0}
